attribute,target_column,target_file,feature_file,task_type,strategy,classifier,splitter,fold,n_folds,n_features,n_train_labels,n_valid_labels,n_train_assets,n_valid_assets,accuracy,weighted_f1,macro_f1
attr_decking_material,attr_decking_material,data/processed/train/attr_decking_material_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_logistic_regression,logistic_regression,GroupKFold,1,5,768,1419,355,1419,355,0.9492957746478873,0.9400206114737203,0.5345528455284553
attr_decking_material,attr_decking_material,data/processed/train/attr_decking_material_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_logistic_regression,logistic_regression,GroupKFold,2,5,768,1419,355,1419,355,0.952112676056338,0.9553288583442145,0.4071345890771335
attr_decking_material,attr_decking_material,data/processed/train/attr_decking_material_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_logistic_regression,logistic_regression,GroupKFold,3,5,768,1419,355,1419,355,0.9690140845070423,0.9693311706432759,0.43559313400906635
attr_decking_material,attr_decking_material,data/processed/train/attr_decking_material_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_logistic_regression,logistic_regression,GroupKFold,4,5,768,1419,355,1419,355,0.9690140845070423,0.9618614156080647,0.4616856456735611
attr_decking_material,attr_decking_material,data/processed/train/attr_decking_material_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_logistic_regression,logistic_regression,GroupKFold,5,5,768,1420,354,1420,354,0.940677966101695,0.9432624285113295,0.4650531876918683
