attribute,target_column,target_file,feature_file,task_type,strategy,classifier,splitter,fold,n_folds,n_features,n_train_labels,n_valid_labels,n_train_assets,n_valid_assets,accuracy,weighted_f1,macro_f1
attr_bridge_type,attr_bridge_type,data/processed/train/attr_bridge_type_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,1,5,768,489,123,489,123,0.8373983739837398,0.8346247685350754,0.4054740957966764
attr_bridge_type,attr_bridge_type,data/processed/train/attr_bridge_type_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,2,5,768,489,123,489,123,0.7967479674796748,0.7958941144435367,0.30799043062200954
attr_bridge_type,attr_bridge_type,data/processed/train/attr_bridge_type_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,3,5,768,490,122,490,122,0.8688524590163934,0.8556705730245819,0.3730030333670374
attr_bridge_type,attr_bridge_type,data/processed/train/attr_bridge_type_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,4,5,768,490,122,490,122,0.8524590163934426,0.8519123853638993,0.4528690994308671
attr_bridge_type,attr_bridge_type,data/processed/train/attr_bridge_type_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,5,5,768,490,122,490,122,0.8442622950819673,0.8364381520119225,0.38181818181818183
