attribute,target_column,target_file,feature_file,task_type,strategy,classifier,splitter,fold,n_folds,n_features,n_train_labels,n_valid_labels,n_train_assets,n_valid_assets,accuracy,weighted_f1,macro_f1
attr_structure_material,attr_structure_material,data/processed/train/attr_structure_material_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_logistic_regression,logistic_regression,GroupKFold,1,5,768,1339,335,1339,335,0.8865671641791045,0.8868159203980099,0.507767131242741
attr_structure_material,attr_structure_material,data/processed/train/attr_structure_material_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_logistic_regression,logistic_regression,GroupKFold,2,5,768,1339,335,1339,335,0.8955223880597015,0.902536054969671,0.5063701517706576
attr_structure_material,attr_structure_material,data/processed/train/attr_structure_material_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_logistic_regression,logistic_regression,GroupKFold,3,5,768,1339,335,1339,335,0.8716417910447761,0.8749565425882635,0.54657917383821
attr_structure_material,attr_structure_material,data/processed/train/attr_structure_material_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_logistic_regression,logistic_regression,GroupKFold,4,5,768,1339,335,1339,335,0.9104477611940298,0.9228820014758742,0.4261297182349814
attr_structure_material,attr_structure_material,data/processed/train/attr_structure_material_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_logistic_regression,logistic_regression,GroupKFold,5,5,768,1340,334,1340,334,0.907185628742515,0.9082220208628777,0.6148878289281755
