attribute,target_column,target_file,feature_file,task_type,strategy,classifier,splitter,fold,n_folds,n_features,n_train_labels,n_valid_labels,n_train_assets,n_valid_assets,accuracy,weighted_f1,macro_f1
width_bin,width_bin,data/processed/train/width_bin_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_linear_svm,linear_svm,GroupKFold,1,5,768,1304,326,1304,326,0.6503067484662577,0.6414757721191653,0.29357915021620606
width_bin,width_bin,data/processed/train/width_bin_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_linear_svm,linear_svm,GroupKFold,2,5,768,1304,326,1304,326,0.6165644171779141,0.630455308132294,0.2756157973057644
width_bin,width_bin,data/processed/train/width_bin_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_linear_svm,linear_svm,GroupKFold,3,5,768,1304,326,1304,326,0.6288343558282209,0.6332993556668504,0.3155449286596827
width_bin,width_bin,data/processed/train/width_bin_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_linear_svm,linear_svm,GroupKFold,4,5,768,1304,326,1304,326,0.5920245398773006,0.5911233795237723,0.27349532579846525
width_bin,width_bin,data/processed/train/width_bin_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_linear_svm,linear_svm,GroupKFold,5,5,768,1304,326,1304,326,0.6380368098159509,0.6341504396961413,0.3354902696683135
