attribute,target_column,target_file,feature_file,task_type,strategy,classifier,splitter,fold,n_folds,n_features,n_train_labels,n_valid_labels,n_train_assets,n_valid_assets,accuracy,weighted_f1,macro_f1
attr_bridge_type,attr_bridge_type,data/processed/train/attr_bridge_type_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_linear_svm,linear_svm,StratifiedGroupKFold,1,5,768,489,123,489,123,0.8048780487804879,0.7986544908103108,0.4701990521327014
attr_bridge_type,attr_bridge_type,data/processed/train/attr_bridge_type_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_linear_svm,linear_svm,StratifiedGroupKFold,2,5,768,489,123,489,123,0.8536585365853658,0.8259037168598073,0.3599134823359769
attr_bridge_type,attr_bridge_type,data/processed/train/attr_bridge_type_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_linear_svm,linear_svm,StratifiedGroupKFold,3,5,768,490,122,490,122,0.7377049180327869,0.7796199701937406,0.34272727272727277
attr_bridge_type,attr_bridge_type,data/processed/train/attr_bridge_type_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_linear_svm,linear_svm,StratifiedGroupKFold,4,5,768,490,122,490,122,0.8442622950819673,0.8496792587312901,0.44704013377926427
attr_bridge_type,attr_bridge_type,data/processed/train/attr_bridge_type_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_linear_svm,linear_svm,StratifiedGroupKFold,5,5,768,490,122,490,122,0.8442622950819673,0.8309635258145994,0.3530687153222365
