attribute,target_column,target_file,feature_file,task_type,strategy,classifier,splitter,fold,n_folds,n_features,n_train_labels,n_valid_labels,n_train_assets,n_valid_assets,accuracy,weighted_f1,macro_f1
attr_material_frame_tank_body,"attr_material_frame,_tank,_body",data/processed/train/attr_material_frame_tank_body_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_linear_svm,linear_svm,GroupKFold,1,5,768,628,157,628,157,0.7133757961783439,0.7221706234843546,0.3349453637677383
attr_material_frame_tank_body,"attr_material_frame,_tank,_body",data/processed/train/attr_material_frame_tank_body_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_linear_svm,linear_svm,GroupKFold,2,5,768,628,157,628,157,0.7006369426751592,0.7058050546420185,0.3561576953842147
attr_material_frame_tank_body,"attr_material_frame,_tank,_body",data/processed/train/attr_material_frame_tank_body_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_linear_svm,linear_svm,GroupKFold,3,5,768,628,157,628,157,0.7834394904458599,0.7895328143871306,0.4732782583846413
attr_material_frame_tank_body,"attr_material_frame,_tank,_body",data/processed/train/attr_material_frame_tank_body_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_linear_svm,linear_svm,GroupKFold,4,5,768,628,157,628,157,0.7643312101910829,0.7560397809811151,0.3681419457735247
attr_material_frame_tank_body,"attr_material_frame,_tank,_body",data/processed/train/attr_material_frame_tank_body_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_linear_svm,linear_svm,GroupKFold,5,5,768,628,157,628,157,0.7515923566878981,0.7367505367139908,0.4112444932117063
