attribute,target_column,target_file,feature_file,task_type,strategy,classifier,splitter,fold,n_folds,n_features,n_train_labels,n_valid_labels,n_train_assets,n_valid_assets,accuracy,weighted_f1,macro_f1
fall_height_bin,fall_height_bin,data/processed/train/fall_height_bin_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_linear_svm,linear_svm,GroupKFold,1,5,768,97,25,97,25,0.48,0.5006984126984128,0.3515873015873016
fall_height_bin,fall_height_bin,data/processed/train/fall_height_bin_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_linear_svm,linear_svm,GroupKFold,2,5,768,97,25,97,25,0.52,0.4844257703081232,0.46311858076563966
fall_height_bin,fall_height_bin,data/processed/train/fall_height_bin_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_linear_svm,linear_svm,GroupKFold,3,5,768,98,24,98,24,0.3333333333333333,0.35000000000000003,0.30158730158730157
fall_height_bin,fall_height_bin,data/processed/train/fall_height_bin_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_linear_svm,linear_svm,GroupKFold,4,5,768,98,24,98,24,0.4166666666666667,0.3846801346801347,0.37590187590187585
fall_height_bin,fall_height_bin,data/processed/train/fall_height_bin_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_linear_svm,linear_svm,GroupKFold,5,5,768,98,24,98,24,0.75,0.7676587301587302,0.5341269841269841
