target_column,target_file,feature_file,fold,n_folds,splitter,knn_k,n_train_assets,n_valid_assets,task_type,accuracy,weighted_f1,macro_f1
"attr_material_frame,_tank,_body",data\processed\train\attr_material_frame_tank_body_train.csv,data\features\dinov3_attr_material_frame_tank_body_train_assets.csv,1,5,GroupKFold,10,628,157,classification,0.7515923566878981,0.7176071847716916,0.386340622978554
"attr_material_frame,_tank,_body",data\processed\train\attr_material_frame_tank_body_train.csv,data\features\dinov3_attr_material_frame_tank_body_train_assets.csv,2,5,GroupKFold,10,628,157,classification,0.7579617834394905,0.7370550811514405,0.4435592557168942
"attr_material_frame,_tank,_body",data\processed\train\attr_material_frame_tank_body_train.csv,data\features\dinov3_attr_material_frame_tank_body_train_assets.csv,3,5,GroupKFold,10,628,157,classification,0.7643312101910829,0.7568774360680672,0.6324885986733001
"attr_material_frame,_tank,_body",data\processed\train\attr_material_frame_tank_body_train.csv,data\features\dinov3_attr_material_frame_tank_body_train_assets.csv,4,5,GroupKFold,10,628,157,classification,0.7770700636942676,0.7513499100861276,0.34200292612020033
"attr_material_frame,_tank,_body",data\processed\train\attr_material_frame_tank_body_train.csv,data\features\dinov3_attr_material_frame_tank_body_train_assets.csv,5,5,GroupKFold,10,628,157,classification,0.732484076433121,0.6956157474668128,0.3363207163731523
