attribute,target_column,target_file,feature_file,task_type,strategy,classifier,splitter,fold,n_folds,n_features,n_train_labels,n_valid_labels,n_train_assets,n_valid_assets,accuracy,weighted_f1,macro_f1
attr_structure_position,attr_structure_position,data/processed/train/attr_structure_position_train.csv,data/features/openclip_vith14_all_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,1,5,1024,475,119,475,119,0.8739495798319328,0.8769670616890517,0.8045581101638968
attr_structure_position,attr_structure_position,data/processed/train/attr_structure_position_train.csv,data/features/openclip_vith14_all_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,2,5,1024,475,119,475,119,0.8907563025210085,0.8866091891301976,0.7835497835497834
attr_structure_position,attr_structure_position,data/processed/train/attr_structure_position_train.csv,data/features/openclip_vith14_all_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,3,5,1024,476,118,476,118,0.8813559322033898,0.8823986653016344,0.8085240635576206
attr_structure_position,attr_structure_position,data/processed/train/attr_structure_position_train.csv,data/features/openclip_vith14_all_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,4,5,1024,475,119,475,119,0.865546218487395,0.8638974577172641,0.7440225035161744
attr_structure_position,attr_structure_position,data/processed/train/attr_structure_position_train.csv,data/features/openclip_vith14_all_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,5,5,1024,475,119,475,119,0.8991596638655462,0.8996637547570115,0.6949571522742254
