attribute,target_column,target_file,feature_file,task_type,strategy,classifier,splitter,fold,n_folds,n_features,n_train_labels,n_valid_labels,n_train_assets,n_valid_assets,accuracy,weighted_f1,macro_f1
attr_decking_material,attr_decking_material,data/processed/train/attr_decking_material_train.csv,data/features/openclip_vith14_all_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,GroupKFold,1,5,1024,1415,354,1415,354,0.9463276836158192,0.9408986069279579,0.5215737514518002
attr_decking_material,attr_decking_material,data/processed/train/attr_decking_material_train.csv,data/features/openclip_vith14_all_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,GroupKFold,2,5,1024,1415,354,1415,354,0.96045197740113,0.9635169192914562,0.43150105708245245
attr_decking_material,attr_decking_material,data/processed/train/attr_decking_material_train.csv,data/features/openclip_vith14_all_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,GroupKFold,3,5,1024,1415,354,1415,354,0.9689265536723164,0.9659308876014321,0.3042094604368581
attr_decking_material,attr_decking_material,data/processed/train/attr_decking_material_train.csv,data/features/openclip_vith14_all_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,GroupKFold,4,5,1024,1415,354,1415,354,0.9519774011299436,0.9493866637093444,0.48113413304252994
attr_decking_material,attr_decking_material,data/processed/train/attr_decking_material_train.csv,data/features/openclip_vith14_all_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,GroupKFold,5,5,1024,1416,353,1416,353,0.9603399433427762,0.9620042056968725,0.4312974807074438
