attribute,target_column,target_file,feature_file,task_type,strategy,classifier,splitter,fold,n_folds,n_features,n_train_labels,n_valid_labels,n_train_assets,n_valid_assets,accuracy,weighted_f1,macro_f1
attr_material_frame_tank_body,"attr_material_frame,_tank,_body",data/processed/train/attr_material_frame_tank_body_train.csv,data/features/openclip_vitb16_all_attributes_assets.csv,classification,openclip_frozen_embeddings_logistic_regression,logistic_regression,GroupKFold,1,5,512,628,157,628,157,0.6878980891719745,0.6891649388540577,0.40692026995403363
attr_material_frame_tank_body,"attr_material_frame,_tank,_body",data/processed/train/attr_material_frame_tank_body_train.csv,data/features/openclip_vitb16_all_attributes_assets.csv,classification,openclip_frozen_embeddings_logistic_regression,logistic_regression,GroupKFold,2,5,512,628,157,628,157,0.7515923566878981,0.7405087601862234,0.3951456049860305
attr_material_frame_tank_body,"attr_material_frame,_tank,_body",data/processed/train/attr_material_frame_tank_body_train.csv,data/features/openclip_vitb16_all_attributes_assets.csv,classification,openclip_frozen_embeddings_logistic_regression,logistic_regression,GroupKFold,3,5,512,628,157,628,157,0.7643312101910829,0.7735432991358646,0.42072499449548634
attr_material_frame_tank_body,"attr_material_frame,_tank,_body",data/processed/train/attr_material_frame_tank_body_train.csv,data/features/openclip_vitb16_all_attributes_assets.csv,classification,openclip_frozen_embeddings_logistic_regression,logistic_regression,GroupKFold,4,5,512,628,157,628,157,0.7452229299363057,0.7495905368516833,0.3127119793786461
attr_material_frame_tank_body,"attr_material_frame,_tank,_body",data/processed/train/attr_material_frame_tank_body_train.csv,data/features/openclip_vitb16_all_attributes_assets.csv,classification,openclip_frozen_embeddings_logistic_regression,logistic_regression,GroupKFold,5,5,512,628,157,628,157,0.7579617834394905,0.7388693840275402,0.3389928669589687
