attribute,asset_type,target_column,target_file,feature_file,task_type,strategy,classifier,splitter,fold,n_folds,n_features,n_train_labels,n_valid_labels,n_train_assets,n_valid_assets,accuracy,weighted_f1,macro_f1,inner_macro_f1_mean
attr_has_edge_guard,,attr_has_edge_guard,data/processed/train/attr_has_edge_guard_train.csv,data/features/dinov3_vitb16_all_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,1,5,768,1292,324,1292,324,0.9259259259259259,0.9229514072790108,0.719196879965333,
attr_has_edge_guard,,attr_has_edge_guard,data/processed/train/attr_has_edge_guard_train.csv,data/features/dinov3_vitb16_all_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,2,5,768,1293,323,1293,323,0.891640866873065,0.8976505980821423,0.6632710809281268,
attr_has_edge_guard,,attr_has_edge_guard,data/processed/train/attr_has_edge_guard_train.csv,data/features/dinov3_vitb16_all_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,3,5,768,1293,323,1293,323,0.8947368421052632,0.8998407034535492,0.6676150121065375,
attr_has_edge_guard,,attr_has_edge_guard,data/processed/train/attr_has_edge_guard_train.csv,data/features/dinov3_vitb16_all_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,4,5,768,1293,323,1293,323,0.9009287925696594,0.9070873358417777,0.6969270466807413,
attr_has_edge_guard,,attr_has_edge_guard,data/processed/train/attr_has_edge_guard_train.csv,data/features/dinov3_vitb16_all_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,5,5,768,1293,323,1293,323,0.9164086687306502,0.9223693409094493,0.7402376910016978,
