attribute,asset_type,target_column,target_file,feature_file,task_type,strategy,classifier,splitter,fold,n_folds,n_features,n_train_labels,n_valid_labels,n_train_assets,n_valid_assets,accuracy,weighted_f1,macro_f1,inner_macro_f1_mean
attr_has_pedestrian_railing,,attr_has_pedestrian_railing,data/processed/train/attr_has_pedestrian_railing_train.csv,data/features/dinov3_vitb16_all_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,1,5,768,1884,471,1884,471,0.89171974522293,0.9020660538740525,0.6280711395051551,
attr_has_pedestrian_railing,,attr_has_pedestrian_railing,data/processed/train/attr_has_pedestrian_railing_train.csv,data/features/dinov3_vitb16_all_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,2,5,768,1884,471,1884,471,0.9235668789808917,0.9247955676749434,0.6982676529756388,
attr_has_pedestrian_railing,,attr_has_pedestrian_railing,data/processed/train/attr_has_pedestrian_railing_train.csv,data/features/dinov3_vitb16_all_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,3,5,768,1884,471,1884,471,0.9044585987261147,0.9050463127759644,0.6416850687956513,
attr_has_pedestrian_railing,,attr_has_pedestrian_railing,data/processed/train/attr_has_pedestrian_railing_train.csv,data/features/dinov3_vitb16_all_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,4,5,768,1884,471,1884,471,0.9278131634819533,0.9302289948505535,0.728941735803311,
attr_has_pedestrian_railing,,attr_has_pedestrian_railing,data/processed/train/attr_has_pedestrian_railing_train.csv,data/features/dinov3_vitb16_all_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,5,5,768,1884,471,1884,471,0.9044585987261147,0.9094124616065005,0.6445399249044866,
