target_column,target_file,feature_file,splitter,knn_k,task_type,n_folds,n_valid_assets,accuracy_mean,accuracy_std,weighted_f1_mean,weighted_f1_std,macro_f1_mean,macro_f1_std,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std
attr_abutment_material,data\processed\train\attr_abutment_material_train.csv,data\features\dinov3_attr_abutment_material_train_assets.csv,GroupKFold,10,classification,5,573,0.717254004576659,0.0407851326878938,0.6808707618255336,0.045220328357396,0.3873318073401151,0.0946156483015997,,,,,,
attr_bridge_type,data\processed\train\attr_bridge_type_train.csv,data\features\dinov3_attr_bridge_type_train_assets.csv,StratifiedGroupKFold,10,classification,5,612,0.8709849393575902,0.022144296057557,0.8458997835054257,0.0166739663058076,0.3844258054296943,0.0596126093469592,,,,,,
attr_decking_material,data\processed\train\attr_decking_material_train.csv,data\features\dinov3_attr_decking_material_train_assets.csv,GroupKFold,10,classification,5,1774,0.9656067478316226,0.0168580936682903,0.956707175423991,0.021226459940208,0.4196673027159191,0.1084546194818763,,,,,,
attr_fall_height,data\processed\train\attr_fall_height_train.csv,data\features\dinov3_attr_fall_height_train_assets.csv,GroupKFold,10,regression,5,122,,,,,,,1.01515,0.4063606833836166,1.8845432090529035,1.2872557502360324,-0.4181713623232156,0.8193121781833308
attr_has_edge_guard,data\processed\train\attr_has_edge_guard_train.csv,data\features\dinov3_attr_has_edge_guard_train_assets.csv,StratifiedGroupKFold,10,classification,5,1616,0.922021557160876,0.008386008455488,0.89463862971938,0.0139621450692358,0.5381083264614793,0.0715453817431172,,,,,,
attr_has_pedestrian_railing,data\processed\train\attr_has_pedestrian_railing_train.csv,data\features\dinov3_attr_has_pedestrian_railing_train_assets.csv,StratifiedGroupKFold,10,classification,5,2355,0.9307855626326964,0.0066464865573241,0.9200536328649346,0.0070583757490077,0.6499252302314432,0.0268660478168593,,,,,,
attr_length,data\processed\train\attr_length_train.csv,data\features\dinov3_attr_length_train_assets.csv,GroupKFold,10,regression,5,1599,,,,,,,34.49595757848746,2.3326033696795214,145.21090740054177,8.033905584014104,-0.0643580445019821,0.0188054154737882
"attr_material_frame,_tank,_body",data\processed\train\attr_material_frame_tank_body_train.csv,data\features\dinov3_attr_material_frame_tank_body_train_assets.csv,GroupKFold,10,classification,5,785,0.756687898089172,0.0164868523637513,0.7317010719088279,0.0252456920269882,0.4281424239724202,0.1220590712103455,,,,,,
attr_number_of_steps,data\processed\train\attr_number_of_steps_train.csv,data\features\dinov3_attr_number_of_steps_train_assets.csv,GroupKFold,10,regression,5,29,,,,,,,11.156000000000002,4.958291260325701,15.358071281482433,10.346080971772068,-4.607215226292361,6.255041944752905
attr_structure_material,data\processed\train\attr_structure_material_train.csv,data\features\dinov3_attr_structure_material_train_assets.csv,GroupKFold,10,classification,5,1674,0.9235320403968184,0.0144404830485287,0.8997887290614048,0.0204148088580479,0.4969827517903451,0.0992666902861881,,,,,,
attr_structure_position,data\processed\train\attr_structure_position_train.csv,data\features\dinov3_attr_structure_position_train_assets.csv,StratifiedGroupKFold,10,classification,5,594,0.8686227033186157,0.0287176520645578,0.8596814885346081,0.031797557873358,0.6689503685905805,0.0664377371089171,,,,,,
attr_width,data\processed\train\attr_width_train.csv,data\features\dinov3_attr_width_train_assets.csv,GroupKFold,10,regression,5,1630,,,,,,,0.3692833619631902,0.0376574109479721,1.0083290530719669,0.3341465478831176,0.1508913202521758,0.0927993734317729
fall_height_bin,data\processed\train\fall_height_bin_train.csv,data\features\dinov3_attr_fall_height_train_assets.csv,GroupKFold,10,classification,5,122,0.4516666666666666,0.1400099202834491,0.3945497145555969,0.1421614457135219,0.3201573480985246,0.101621398726444,,,,,,
steps_bin,data\processed\train\steps_bin_train.csv,data\features\dinov3_attr_number_of_steps_train_assets.csv,GroupKFold,10,classification,5,29,0.5533333333333333,0.2478798992343761,0.4699999999999999,0.2635532535566909,0.4109523809523809,0.20958873452961,,,,,,
length_bin,data\processed\train\length_bin_train.csv,data\features\dinov3_attr_length_train_assets.csv,GroupKFold,10,classification,5,1599,0.5347080721003135,0.0129942678453361,0.4847154104045686,0.0120997341066276,0.2214074185989722,0.0409843457061154,,,,,,
width_bin,data\processed\train\width_bin_train.csv,data\features\dinov3_attr_width_train_assets.csv,GroupKFold,10,classification,5,1630,0.6533742331288344,0.0304439160142319,0.6048712780635582,0.0401130724170714,0.2588593965194362,0.0280829627238055,,,,,,
