attribute,target_column,target_file,task_type,strategy,splitter,fold,n_folds,knn_k,n_train_labels,n_valid_labels,n_train_assets,n_valid_assets,accuracy,weighted_f1,macro_f1,mae,rmse,r2
attr_abutment_material,attr_abutment_material,data\processed\train\attr_abutment_material_train.csv,classification,knn_group_cv,GroupKFold,1,5,5,909,222,460,116,0.5855855855855856,0.5782413872841566,0.3585401459239278,,,
attr_abutment_material,attr_abutment_material,data\processed\train\attr_abutment_material_train.csv,classification,knn_group_cv,GroupKFold,2,5,5,897,233,461,115,0.6437768240343348,0.62302849969896,0.3282950914899797,,,
attr_abutment_material,attr_abutment_material,data\processed\train\attr_abutment_material_train.csv,classification,knn_group_cv,GroupKFold,3,5,5,931,203,461,115,0.6403940886699507,0.6314146458085378,0.3669513789296004,,,
attr_abutment_material,attr_abutment_material,data\processed\train\attr_abutment_material_train.csv,classification,knn_group_cv,GroupKFold,4,5,5,918,213,461,115,0.5727699530516432,0.5421030034880272,0.3827776560299662,,,
attr_abutment_material,attr_abutment_material,data\processed\train\attr_abutment_material_train.csv,classification,knn_group_cv,GroupKFold,5,5,5,881,252,461,115,0.6309523809523809,0.6264978022274837,0.3480902806779154,,,
attr_bridge_type,attr_bridge_type,data\processed\train\attr_bridge_type_train.csv,classification,knn_group_cv,StratifiedGroupKFold,1,5,5,933,232,491,123,0.875,0.8410821894877805,0.38737864077669903,,,
attr_bridge_type,attr_bridge_type,data\processed\train\attr_bridge_type_train.csv,classification,knn_group_cv,StratifiedGroupKFold,2,5,5,933,232,490,124,0.8405172413793104,0.8123015757674706,0.3608553477166616,,,
attr_bridge_type,attr_bridge_type,data\processed\train\attr_bridge_type_train.csv,classification,knn_group_cv,StratifiedGroupKFold,3,5,5,933,233,491,123,0.8669527896995708,0.8492617316189935,0.4038886948422401,,,
attr_bridge_type,attr_bridge_type,data\processed\train\attr_bridge_type_train.csv,classification,knn_group_cv,StratifiedGroupKFold,4,5,5,932,231,493,121,0.8874458874458875,0.8599647628444917,0.3380889641759207,,,
attr_bridge_type,attr_bridge_type,data\processed\train\attr_bridge_type_train.csv,classification,knn_group_cv,StratifiedGroupKFold,5,5,5,933,230,491,123,0.8913043478260869,0.8764178387366792,0.47203660536993863,,,
attr_decking_material,attr_decking_material,data\processed\train\attr_decking_material_train.csv,classification,knn_group_cv,GroupKFold,1,5,5,2357,562,1484,372,0.9395017793594306,0.9234252572916936,0.32955085661367495,,,
attr_decking_material,attr_decking_material,data\processed\train\attr_decking_material_train.csv,classification,knn_group_cv,GroupKFold,2,5,5,2326,592,1485,371,0.9695945945945946,0.9661964168086162,0.41806932489034,,,
attr_decking_material,attr_decking_material,data\processed\train\attr_decking_material_train.csv,classification,knn_group_cv,GroupKFold,3,5,5,2338,578,1485,371,0.9775086505190311,0.9716894948597458,0.307715491259795,,,
attr_decking_material,attr_decking_material,data\processed\train\attr_decking_material_train.csv,classification,knn_group_cv,GroupKFold,4,5,5,2376,537,1485,371,0.9534450651769087,0.9450909856146243,0.3386780383795309,,,
attr_decking_material,attr_decking_material,data\processed\train\attr_decking_material_train.csv,classification,knn_group_cv,GroupKFold,5,5,5,2343,566,1485,371,0.9346289752650176,0.9239591904312604,0.3650459639220346,,,
attr_fall_height,attr_fall_height,data\processed\train\attr_fall_height_train.csv,regression,knn_group_cv,GroupKFold,1,5,5,185,54,97,25,,,,2.49111111111111,3.7962296109770888,-0.11560935947503848
attr_fall_height,attr_fall_height,data\processed\train\attr_fall_height_train.csv,regression,knn_group_cv,GroupKFold,2,5,5,177,61,97,25,,,,1.4427868852459016,2.3333642074460137,-8.142104018645828
attr_fall_height,attr_fall_height,data\processed\train\attr_fall_height_train.csv,regression,knn_group_cv,GroupKFold,3,5,5,198,41,98,24,,,,1.9560975609756097,5.074574114053749,-0.060956933612526853
attr_fall_height,attr_fall_height,data\processed\train\attr_fall_height_train.csv,regression,knn_group_cv,GroupKFold,4,5,5,207,32,98,24,,,,1.0753125,1.395023521307078,-0.9261565971307681
attr_fall_height,attr_fall_height,data\processed\train\attr_fall_height_train.csv,regression,knn_group_cv,GroupKFold,5,5,5,189,50,98,24,,,,1.0630000000000002,1.9611471132987448,-3.4906080263778545
attr_has_edge_guard,attr_has_edge_guard,data\processed\train\attr_has_edge_guard_train.csv,classification,knn_group_cv,StratifiedGroupKFold,1,5,5,2069,501,1376,345,0.8942115768463074,0.8746891755274989,0.6271955071955072,,,
attr_has_edge_guard,attr_has_edge_guard,data\processed\train\attr_has_edge_guard_train.csv,classification,knn_group_cv,StratifiedGroupKFold,2,5,5,2069,486,1377,344,0.8909465020576132,0.866185249965053,0.5973487986743993,,,
attr_has_edge_guard,attr_has_edge_guard,data\processed\train\attr_has_edge_guard_train.csv,classification,knn_group_cv,StratifiedGroupKFold,3,5,5,2070,492,1377,344,0.8841463414634146,0.8660767681178454,0.6077487936219316,,,
