attribute,target_column,target_file,task_type,strategy,splitter,fold,n_folds,knn_k,n_train_labels,n_valid_labels,n_train_assets,n_valid_assets,accuracy,weighted_f1,macro_f1,mae,rmse,r2
attr_has_edge_guard,attr_has_edge_guard,data\processed\train\attr_has_edge_guard_train.csv,classification,knn_group_cv,StratifiedGroupKFold,4,5,5,2070,496,1377,344,0.8971774193548387,0.8757828063415006,0.6229373798202333,,,
attr_has_edge_guard,attr_has_edge_guard,data\processed\train\attr_has_edge_guard_train.csv,classification,knn_group_cv,StratifiedGroupKFold,5,5,5,2070,481,1377,344,0.8731808731808732,0.8650687755165368,0.6298179432507791,,,
attr_has_pedestrian_railing,attr_has_pedestrian_railing,data\processed\train\attr_has_pedestrian_railing_train.csv,classification,knn_group_cv,StratifiedGroupKFold,1,5,5,2881,690,1984,496,0.8884057971014493,0.8730048799564126,0.5922692521347533,,,
attr_has_pedestrian_railing,attr_has_pedestrian_railing,data\processed\train\attr_has_pedestrian_railing_train.csv,classification,knn_group_cv,StratifiedGroupKFold,2,5,5,2881,680,1984,496,0.8852941176470588,0.876609926327317,0.6334963044525699,,,
attr_has_pedestrian_railing,attr_has_pedestrian_railing,data\processed\train\attr_has_pedestrian_railing_train.csv,classification,knn_group_cv,StratifiedGroupKFold,3,5,5,2881,690,1985,495,0.9028985507246376,0.8955816571800488,0.6562916851934193,,,
attr_has_pedestrian_railing,attr_has_pedestrian_railing,data\processed\train\attr_has_pedestrian_railing_train.csv,classification,knn_group_cv,StratifiedGroupKFold,4,5,5,2880,694,1983,497,0.8847262247838616,0.8739927953364196,0.5918096282535481,,,
attr_has_pedestrian_railing,attr_has_pedestrian_railing,data\processed\train\attr_has_pedestrian_railing_train.csv,classification,knn_group_cv,StratifiedGroupKFold,5,5,5,2881,691,1984,496,0.8958031837916064,0.8915703390261854,0.666520364264573,,,
attr_length,attr_length,data\processed\train\attr_length_train.csv,regression,knn_group_cv,GroupKFold,1,5,5,2134,479,1395,349,,,,36.401447265135694,149.69815147800085,-0.23372012838269596
attr_length,attr_length,data\processed\train\attr_length_train.csv,regression,knn_group_cv,GroupKFold,2,5,5,2075,529,1395,349,,,,34.16677920604914,129.66950789035906,-0.07860952462563042
attr_length,attr_length,data\processed\train\attr_length_train.csv,regression,knn_group_cv,GroupKFold,3,5,5,2095,519,1395,349,,,,37.20712138728324,182.01016307371137,-0.060500967133432226
attr_length,attr_length,data\processed\train\attr_length_train.csv,regression,knn_group_cv,GroupKFold,4,5,5,2134,468,1395,349,,,,26.963654273504275,105.54302465302135,-0.17024417391530622
attr_length,attr_length,data\processed\train\attr_length_train.csv,regression,knn_group_cv,GroupKFold,5,5,5,2118,486,1396,348,,,,28.43794074074074,100.77910882549,-0.257538929673391
"attr_material_frame,_tank,_body","attr_material_frame,_tank,_body",data\processed\train\attr_material_frame_tank_body_train.csv,classification,knn_group_cv,GroupKFold,1,5,5,1126,286,643,161,0.7762237762237763,0.7511313419818667,0.4408026579731693,,,
"attr_material_frame,_tank,_body","attr_material_frame,_tank,_body",data\processed\train\attr_material_frame_tank_body_train.csv,classification,knn_group_cv,GroupKFold,2,5,5,1119,289,643,161,0.8027681660899654,0.7690330386574884,0.4068599101757915,,,
"attr_material_frame,_tank,_body","attr_material_frame,_tank,_body",data\processed\train\attr_material_frame_tank_body_train.csv,classification,knn_group_cv,GroupKFold,3,5,5,1131,281,643,161,0.800711743772242,0.7996635072759944,0.4666185368536854,,,
"attr_material_frame,_tank,_body","attr_material_frame,_tank,_body",data\processed\train\attr_material_frame_tank_body_train.csv,classification,knn_group_cv,GroupKFold,4,5,5,1130,280,643,161,0.725,0.7109241605317926,0.39143808436616656,,,
"attr_material_frame,_tank,_body","attr_material_frame,_tank,_body",data\processed\train\attr_material_frame_tank_body_train.csv,classification,knn_group_cv,GroupKFold,5,5,5,1158,257,644,160,0.6303501945525292,0.5929990464440498,0.3184107626790554,,,
attr_number_of_steps,attr_number_of_steps,data\processed\train\attr_number_of_steps_train.csv,regression,knn_group_cv,GroupKFold,1,5,5,45,7,23,6,,,,27.54285714285714,39.849430897531555,-0.01594046220133194
attr_number_of_steps,attr_number_of_steps,data\processed\train\attr_number_of_steps_train.csv,regression,knn_group_cv,GroupKFold,2,5,5,36,16,23,6,,,,9.7375,11.162772952989773,-0.9576262657256827
attr_number_of_steps,attr_number_of_steps,data\processed\train\attr_number_of_steps_train.csv,regression,knn_group_cv,GroupKFold,3,5,5,43,9,23,6,,,,13.91111111111111,19.152487508879304,-37.38790697674419
attr_number_of_steps,attr_number_of_steps,data\processed\train\attr_number_of_steps_train.csv,regression,knn_group_cv,GroupKFold,4,5,5,39,13,23,6,,,,11.538461538461538,13.896097958115382,-0.4909612573099418
attr_number_of_steps,attr_number_of_steps,data\processed\train\attr_number_of_steps_train.csv,regression,knn_group_cv,GroupKFold,5,5,5,45,7,24,5,,,,13.542857142857143,17.702945679018665,-39.62518518518518
attr_structure_material,attr_structure_material,data\processed\train\attr_structure_material_train.csv,classification,knn_group_cv,GroupKFold,1,5,5,2194,529,1406,352,0.8260869565217391,0.8066371513959358,0.4484776743493889,,,
attr_structure_material,attr_structure_material,data\processed\train\attr_structure_material_train.csv,classification,knn_group_cv,GroupKFold,2,5,5,2192,527,1406,352,0.920303605313093,0.9077053691374991,0.48378538746829247,,,
attr_structure_material,attr_structure_material,data\processed\train\attr_structure_material_train.csv,classification,knn_group_cv,GroupKFold,3,5,5,2180,541,1406,352,0.8502772643253235,0.8221879595780781,0.5218212318089834,,,
attr_structure_material,attr_structure_material,data\processed\train\attr_structure_material_train.csv,classification,knn_group_cv,GroupKFold,4,5,5,2205,509,1407,351,0.888015717092338,0.8751201553414402,0.6287067582343634,,,
attr_structure_material,attr_structure_material,data\processed\train\attr_structure_material_train.csv,classification,knn_group_cv,GroupKFold,5,5,5,2185,534,1407,351,0.8764044943820225,0.854488032549246,0.3872869883327994,,,
attr_structure_position,attr_structure_position,data\processed\train\attr_structure_position_train.csv,classification,knn_group_cv,StratifiedGroupKFold,1,5,5,830,204,490,123,0.7892156862745098,0.7849898580121704,0.5322723253757736,,,
attr_structure_position,attr_structure_position,data\processed\train\attr_structure_position_train.csv,classification,knn_group_cv,StratifiedGroupKFold,2,5,5,830,202,491,122,0.9257425742574258,0.9172765621765362,0.7158725927054372,,,
attr_structure_position,attr_structure_position,data\processed\train\attr_structure_position_train.csv,classification,knn_group_cv,StratifiedGroupKFold,3,5,5,830,205,489,124,0.8536585365853658,0.8444803976511294,0.6630702630702631,,,
attr_structure_position,attr_structure_position,data\processed\train\attr_structure_position_train.csv,classification,knn_group_cv,StratifiedGroupKFold,4,5,5,831,199,492,121,0.8693467336683417,0.865987833906374,0.6555753791257806,,,
attr_structure_position,attr_structure_position,data\processed\train\attr_structure_position_train.csv,classification,knn_group_cv,StratifiedGroupKFold,5,5,5,831,204,490,123,0.8382352941176471,0.834977516478123,0.7087333764224297,,,
attr_width,attr_width,data\processed\train\attr_width_train.csv,regression,knn_group_cv,GroupKFold,1,5,5,2252,473,1387,347,,,,0.6721594926004227,2.2322167520267273,0.10875761784460902
attr_width,attr_width,data\processed\train\attr_width_train.csv,regression,knn_group_cv,GroupKFold,2,5,5,2148,579,1387,347,,,,0.44109968911917097,0.8237616438327815,0.1755530198679831
attr_width,attr_width,data\processed\train\attr_width_train.csv,regression,knn_group_cv,GroupKFold,3,5,5,2196,538,1387,347,,,,0.4176324163568773,0.7661441564412474,0.24105678636031957
attr_width,attr_width,data\processed\train\attr_width_train.csv,regression,knn_group_cv,GroupKFold,4,5,5,2226,504,1387,347,,,,0.3729685714285714,0.9789653042476198,0.19007433422502806
attr_width,attr_width,data\processed\train\attr_width_train.csv,regression,knn_group_cv,GroupKFold,5,5,5,2198,540,1388,346,,,,0.4690154074074074,1.1888817581875464,0.24274477951721118
fall_height_bin,fall_height_bin,data\processed\train\fall_height_bin_train.csv,classification,knn_group_cv,GroupKFold,1,5,5,185,54,97,25,0.35185185185185186,0.25850121193258446,0.23823620357233802,,,
fall_height_bin,fall_height_bin,data\processed\train\fall_height_bin_train.csv,classification,knn_group_cv,GroupKFold,2,5,5,177,61,97,25,0.4426229508196721,0.43470122773401465,0.32598948670377237,,,
fall_height_bin,fall_height_bin,data\processed\train\fall_height_bin_train.csv,classification,knn_group_cv,GroupKFold,3,5,5,198,41,98,24,0.3902439024390244,0.38908246225319393,0.3055555555555555,,,
fall_height_bin,fall_height_bin,data\processed\train\fall_height_bin_train.csv,classification,knn_group_cv,GroupKFold,4,5,5,207,32,98,24,0.40625,0.35416666666666663,0.37333333333333335,,,
fall_height_bin,fall_height_bin,data\processed\train\fall_height_bin_train.csv,classification,knn_group_cv,GroupKFold,5,5,5,189,50,98,24,0.32,0.3326376718223868,0.19312990876165645,,,
steps_bin,steps_bin,data\processed\train\steps_bin_train.csv,classification,knn_group_cv,GroupKFold,1,5,5,45,7,23,6,0.42857142857142855,0.3333333333333333,0.38888888888888884,,,
steps_bin,steps_bin,data\processed\train\steps_bin_train.csv,classification,knn_group_cv,GroupKFold,2,5,5,36,16,23,6,0.4375,0.4261363636363636,0.41991341991341985,,,
steps_bin,steps_bin,data\processed\train\steps_bin_train.csv,classification,knn_group_cv,GroupKFold,3,5,5,43,9,23,6,0.1111111111111111,0.07407407407407407,0.1111111111111111,,,
steps_bin,steps_bin,data\processed\train\steps_bin_train.csv,classification,knn_group_cv,GroupKFold,4,5,5,39,13,23,6,0.46153846153846156,0.39970414201183435,0.5038461538461538,,,
steps_bin,steps_bin,data\processed\train\steps_bin_train.csv,classification,knn_group_cv,GroupKFold,5,5,5,45,7,24,5,0.42857142857142855,0.5238095238095238,0.4444444444444444,,,
length_bin,length_bin,data\processed\train\length_bin_train.csv,classification,knn_group_cv,GroupKFold,1,5,5,2134,479,1395,349,0.5010438413361169,0.48448859776484293,0.2861788512531384,,,
length_bin,length_bin,data\processed\train\length_bin_train.csv,classification,knn_group_cv,GroupKFold,2,5,5,2075,529,1395,349,0.46502835538752363,0.4293800643598411,0.24499920779186005,,,
length_bin,length_bin,data\processed\train\length_bin_train.csv,classification,knn_group_cv,GroupKFold,3,5,5,2095,519,1395,349,0.4662813102119461,0.4381168402467564,0.24059672186250075,,,
length_bin,length_bin,data\processed\train\length_bin_train.csv,classification,knn_group_cv,GroupKFold,4,5,5,2134,468,1395,349,0.49786324786324787,0.4821262308857998,0.33463222865936765,,,
length_bin,length_bin,data\processed\train\length_bin_train.csv,classification,knn_group_cv,GroupKFold,5,5,5,2118,486,1396,348,0.4609053497942387,0.44059111423104136,0.28003625594386816,,,
width_bin,width_bin,data\processed\train\width_bin_train.csv,classification,knn_group_cv,GroupKFold,1,5,5,2252,473,1387,347,0.6575052854122622,0.6402373997748326,0.3138602768735462,,,
width_bin,width_bin,data\processed\train\width_bin_train.csv,classification,knn_group_cv,GroupKFold,2,5,5,2148,579,1387,347,0.5854922279792746,0.5659511037160853,0.2891877492690517,,,
width_bin,width_bin,data\processed\train\width_bin_train.csv,classification,knn_group_cv,GroupKFold,3,5,5,2196,538,1387,347,0.6096654275092936,0.5926243435826198,0.4104619052519639,,,
width_bin,width_bin,data\processed\train\width_bin_train.csv,classification,knn_group_cv,GroupKFold,4,5,5,2226,504,1387,347,0.6587301587301587,0.653956570526825,0.389232426394319,,,
width_bin,width_bin,data\processed\train\width_bin_train.csv,classification,knn_group_cv,GroupKFold,5,5,5,2198,540,1388,346,0.5888888888888889,0.5707154298152392,0.28195476432205774,,,
