attribute,target_column,target_file,feature_file,task_type,strategy,classifier,splitter,fold,n_folds,n_features,n_train_labels,n_valid_labels,n_train_assets,n_valid_assets,accuracy,weighted_f1,macro_f1
width_bin,width_bin,data/processed/train/width_bin_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_hist_gradient_boosting,hist_gradient_boosting,GroupKFold,1,5,768,1304,326,1304,326,0.6871165644171779,0.6473181891002987,0.28302611367127495
width_bin,width_bin,data/processed/train/width_bin_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_hist_gradient_boosting,hist_gradient_boosting,GroupKFold,2,5,768,1304,326,1304,326,0.7331288343558282,0.7164065377411106,0.346599619425386
width_bin,width_bin,data/processed/train/width_bin_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_hist_gradient_boosting,hist_gradient_boosting,GroupKFold,3,5,768,1304,326,1304,326,0.6779141104294478,0.6488939426309586,0.3774483414303842
width_bin,width_bin,data/processed/train/width_bin_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_hist_gradient_boosting,hist_gradient_boosting,GroupKFold,4,5,768,1304,326,1304,326,0.6993865030674846,0.6719140739958689,0.41204266165231584
width_bin,width_bin,data/processed/train/width_bin_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_hist_gradient_boosting,hist_gradient_boosting,GroupKFold,5,5,768,1304,326,1304,326,0.6687116564417178,0.6361841102377586,0.3663250756335863
