attribute,target_column,target_file,feature_file,task_type,strategy,classifier,splitter,fold,n_folds,n_features,n_train_labels,n_valid_labels,n_train_assets,n_valid_assets,accuracy,weighted_f1,macro_f1
attr_structure_position,attr_structure_position,data/processed/train/attr_structure_position_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_hist_gradient_boosting,hist_gradient_boosting,StratifiedGroupKFold,1,5,768,475,119,475,119,0.8739495798319328,0.8711348243000905,0.7725338036449146
attr_structure_position,attr_structure_position,data/processed/train/attr_structure_position_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_hist_gradient_boosting,hist_gradient_boosting,StratifiedGroupKFold,2,5,768,475,119,475,119,0.8991596638655462,0.8955036560078576,0.7678286625655047
attr_structure_position,attr_structure_position,data/processed/train/attr_structure_position_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_hist_gradient_boosting,hist_gradient_boosting,StratifiedGroupKFold,3,5,768,476,118,476,118,0.864406779661017,0.8638680677039287,0.8523581681476419
attr_structure_position,attr_structure_position,data/processed/train/attr_structure_position_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_hist_gradient_boosting,hist_gradient_boosting,StratifiedGroupKFold,4,5,768,475,119,475,119,0.8319327731092437,0.8296869172117065,0.737335273668041
attr_structure_position,attr_structure_position,data/processed/train/attr_structure_position_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_hist_gradient_boosting,hist_gradient_boosting,StratifiedGroupKFold,5,5,768,475,119,475,119,0.9159663865546218,0.910609076699042,0.7466878643349232
