attribute,target_column,target_file,feature_file,task_type,strategy,classifier,splitter,fold,n_folds,n_features,n_train_labels,n_valid_labels,n_train_assets,n_valid_assets,accuracy,weighted_f1,macro_f1
width_bin,width_bin,data/processed/train/width_bin_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_random_forest,random_forest,GroupKFold,1,5,768,1304,326,1304,326,0.6257668711656442,0.5415366343290883,0.18302323388775088
width_bin,width_bin,data/processed/train/width_bin_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_random_forest,random_forest,GroupKFold,2,5,768,1304,326,1304,326,0.696319018404908,0.6365008929275248,0.2604608738625132
width_bin,width_bin,data/processed/train/width_bin_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_random_forest,random_forest,GroupKFold,3,5,768,1304,326,1304,326,0.6625766871165644,0.5872291515858865,0.2833997967002893
width_bin,width_bin,data/processed/train/width_bin_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_random_forest,random_forest,GroupKFold,4,5,768,1304,326,1304,326,0.6533742331288344,0.5789618236016506,0.3391952525691127
width_bin,width_bin,data/processed/train/width_bin_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_random_forest,random_forest,GroupKFold,5,5,768,1304,326,1304,326,0.6226993865030674,0.5372958930201314,0.21847367949062865
