attribute,target_column,target_file,feature_file,task_type,strategy,classifier,splitter,fold,n_folds,n_features,n_train_labels,n_valid_labels,n_train_assets,n_valid_assets,accuracy,weighted_f1,macro_f1
fall_height_bin,fall_height_bin,data/processed/train/fall_height_bin_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_random_forest,random_forest,GroupKFold,1,5,768,97,25,97,25,0.44,0.3648761904761904,0.38952380952380955
fall_height_bin,fall_height_bin,data/processed/train/fall_height_bin_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_random_forest,random_forest,GroupKFold,2,5,768,97,25,97,25,0.52,0.4395555555555555,0.4092592592592592
fall_height_bin,fall_height_bin,data/processed/train/fall_height_bin_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_random_forest,random_forest,GroupKFold,3,5,768,98,24,98,24,0.5416666666666666,0.5314009661835749,0.41626409017713367
fall_height_bin,fall_height_bin,data/processed/train/fall_height_bin_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_random_forest,random_forest,GroupKFold,4,5,768,98,24,98,24,0.4166666666666667,0.36527777777777776,0.3466666666666667
fall_height_bin,fall_height_bin,data/processed/train/fall_height_bin_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_random_forest,random_forest,GroupKFold,5,5,768,98,24,98,24,0.5833333333333334,0.5212962962962964,0.40444444444444444
