attribute,target_column,target_file,feature_file,task_type,strategy,classifier,splitter,fold,n_folds,n_features,n_train_labels,n_valid_labels,n_train_assets,n_valid_assets,accuracy,weighted_f1,macro_f1
attr_structure_position,attr_structure_position,data/processed/train/attr_structure_position_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_random_forest,random_forest,StratifiedGroupKFold,1,5,768,475,119,475,119,0.8487394957983193,0.828553017451112,0.5685967657798644
attr_structure_position,attr_structure_position,data/processed/train/attr_structure_position_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_random_forest,random_forest,StratifiedGroupKFold,2,5,768,475,119,475,119,0.8739495798319328,0.8539832047046254,0.5853589438495099
attr_structure_position,attr_structure_position,data/processed/train/attr_structure_position_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_random_forest,random_forest,StratifiedGroupKFold,3,5,768,476,118,476,118,0.8220338983050848,0.8013476531058115,0.5396653098145635
attr_structure_position,attr_structure_position,data/processed/train/attr_structure_position_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_random_forest,random_forest,StratifiedGroupKFold,4,5,768,475,119,475,119,0.8403361344537815,0.8256902761104441,0.677106227106227
attr_structure_position,attr_structure_position,data/processed/train/attr_structure_position_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_random_forest,random_forest,StratifiedGroupKFold,5,5,768,475,119,475,119,0.8991596638655462,0.8828428106752362,0.6017099711303575
