attribute,target_column,target_file,feature_file,task_type,strategy,classifier,splitter,fold,n_folds,n_features,n_train_labels,n_valid_labels,n_train_assets,n_valid_assets,accuracy,weighted_f1,macro_f1
steps_bin,steps_bin,data/processed/train/steps_bin_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_random_forest,random_forest,GroupKFold,1,5,768,23,6,23,6,0.3333333333333333,0.16666666666666666,0.16666666666666666
steps_bin,steps_bin,data/processed/train/steps_bin_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_random_forest,random_forest,GroupKFold,2,5,768,23,6,23,6,0.5,0.46666666666666673,0.4000000000000001
steps_bin,steps_bin,data/processed/train/steps_bin_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_random_forest,random_forest,GroupKFold,3,5,768,23,6,23,6,0.5,0.45714285714285713,0.4857142857142857
steps_bin,steps_bin,data/processed/train/steps_bin_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_random_forest,random_forest,GroupKFold,4,5,768,23,6,23,6,0.5,0.4222222222222222,0.35555555555555557
steps_bin,steps_bin,data/processed/train/steps_bin_train.csv,data/features/google_siglip2_base_patch16_224_all_attributes_assets.csv,classification,siglip_frozen_embeddings_random_forest,random_forest,GroupKFold,5,5,768,24,5,24,5,0.6,0.5666666666666667,0.5833333333333333
